"filename", "language", "TypeScript", "JSON with Comments", "JSON", "XML", "TypeScript JSX", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/PinkCirclePrimary.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/RightArrow.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/Screen.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/SecureAuth.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/SimpleAndQuick.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/SimpleOnboarding.svg", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/Sponsors.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/StreamlinedIcon.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/SylviaCP.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/Tick.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/Transparency.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/a-coffee.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/arrow-down.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/ryanhajji/Documents/Projects/jsm_banking/public/icons/arrow-left.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
